Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series,Expiration,Day to expire,ATM premium,+/-1 OTM premium,atr,tr,atm_tv
2019-12-13,1070.0,1071.4,1066.6,1069.5,1069.2,10.1,0.0095,143467.0,285171.0,Z19,2019-12-27,14d,17.4,3.5,9.13571428571431,4.800000000000182,11.899999999999999
2019-12-16,1067.3,1068.0,1046.4,1046.8,1046.9,-22.3,-0.0209,210868.0,307037.0,Z19,2019-12-27,11d,16.3,3.0,10.142857142857158,21.59999999999991,13.099999999999955
2019-12-17,1044.5,1053.1,1044.0,1051.6,1051.9,5.0,0.0048,200015.0,292163.0,Z19,2019-12-27,10d,14.5,2.8,10.235714285714298,9.099999999999909,12.900000000000091
2019-12-18,1055.0,1063.6,1054.6,1061.4,1061.4,9.5,0.01,154438.0,278828.0,Z19,2019-12-27,9d,17.2,3.0,10.528571428571436,9.0,5.799999999999908
2019-12-19,1058.0,1073.1,1053.5,1069.8,1069.7,8.3,0.0078,215916.0,274148.0,Z19,2019-12-27,8d,15.9,2.5,11.421428571428562,19.59999999999991,10.699999999999955
2019-12-20,1067.8,1072.2,1060.6,1065.0,1064.9,-4.8,-0.0045,195741.0,270154.0,Z19,2019-12-27,7d,16.3,2.4,11.850000000000007,11.600000000000136,6.300000000000001
2019-12-23,1064.0,1078.9,1064.0,1070.1,1070.3,5.4,0.0051,207146.0,213662.0,Z19,2019-12-27,4d,13.4,1.4,12.285714285714302,14.900000000000091,8.49999999999991
2019-12-24,1069.8,1073.8,1065.2,1066.0,1066.0,-4.3,-0.0,126900.0,167815.0,Z19,2019-12-27,3d,15.6,1.5,11.600000000000007,8.599999999999909,6.6
2019-12-25,1064.2,1070.8,1062.3,1069.6,1069.7,3.7,0.0035,41724.0,107372.0,Z19,2019-12-27,2d,12.5,0.6,11.578571428571438,8.5,7.099999999999909
2019-12-26,1070.0,1073.5,1068.1,1072.9,1073.1,3.4,0.0032,57946.0,63595.0,Z19,2019-12-27,1d,9.0,0.5,11.13571428571431,5.400000000000091,6.900000000000091
2019-12-27,1076.6,1078.0,1063.0,1063.4,1063.71,-9.39,-0.0088,45580.0,48056.0,Z19,2019-12-27,0ms,11.2,0.2,11.214285714285731,15.0,-0.39999999999990976
2020-01-02,1065.2,1079.3,1065.0,1076.7,1076.6,9.7,0.0091,168099.0,253260.0,H20,2020-03-30,88d,43.8,23.7,11.507142857142867,14.299999999999955,42.09999999999995
2020-01-03,1075.0,1081.7,1073.5,1075.4,1075.4,-1.2,-0.0011,174869.0,257169.0,H20,2020-03-30,87d,43.5,23.4,11.542857142857153,8.200000000000045,43.09999999999991
2020-01-06,1070.0,1071.4,1057.6,1058.2,1059.2,-16.2,-0.0151,235446.0,271187.0,H20,2020-03-30,84d,45.0,23.4,11.742857142857165,13.800000000000182,36.799999999999955
2020-01-07,1064.9,1071.8,1059.5,1070.8,1070.9,11.7,0.01,211875.0,265441.0,H20,2020-03-30,83d,41.4,22.1,12.278571428571436,12.299999999999955,37.19999999999995
2020-01-08,1061.1,1063.5,1052.6,1053.6,1054.2,-16.7,-0.0156,243337.0,280512.0,H20,2020-03-30,82d,42.5,22.5,11.514285714285734,10.900000000000091,38.90000000000009
2020-01-09,1064.9,1070.7,1060.9,1068.2,1068.0,13.8,0.0131,199422.0,283440.0,H20,2020-03-30,81d,42.7,22.5,11.564285714285736,9.799999999999955,35.90000000000005
2020-01-10,1067.8,1071.5,1063.6,1068.5,1068.7,0.7,0.0007,155019.0,282880.0,H20,2020-03-30,80d,42.0,21.7,11.485714285714314,7.900000000000091,35.5
2020-01-13,1071.0,1074.5,1068.2,1072.0,1071.8,3.1,0.0029,142138.0,297896.0,H20,2020-03-30,77d,41.9,21.8,10.535714285714318,6.2999999999999545,38.9
2020-01-14,1074.8,1075.0,1065.1,1071.7,1071.8,0.0,0.0,162436.0,302060.0,H20,2020-03-30,76d,40.6,20.9,10.414285714285743,9.900000000000091,37.30000000000005
2020-01-15,1067.5,1069.3,1062.5,1064.4,1064.5,-7.3,-0.0068,152343.0,308214.0,H20,2020-03-30,75d,41.6,21.7,9.835714285714305,6.7999999999999545,31.000000000000092
2020-01-16,1065.6,1075.0,1064.0,1072.6,1072.8,8.3,0.0078,158172.0,305427.0,H20,2020-03-30,74d,40.3,20.2,10.007142857142883,11.0,37.899999999999906
2020-01-17,1076.0,1079.2,1074.3,1077.0,1077.0,4.2,0.0039,119198.0,309023.0,H20,2020-03-30,73d,39.5,19.4,9.750000000000032,4.900000000000091,37.5
2020-01-20,1076.8,1076.8,1068.1,1069.7,1069.9,-7.1,-0.0066,149417.0,309554.0,H20,2020-03-30,70d,39.3,19.3,9.985714285714314,8.700000000000045,34.00000000000004
2020-01-21,1065.5,1068.0,1060.1,1060.4,1060.5,-9.4,-0.0088,175914.0,331458.0,H20,2020-03-30,69d,40.0,19.7,9.478571428571465,7.900000000000091,29.59999999999991
2020-01-22,1062.1,1064.5,1057.1,1060.7,1060.5,0.0,0.0,166388.0,343044.0,H20,2020-03-30,68d,39.8,19.5,8.985714285714332,7.400000000000091,29.09999999999995
2020-01-23,1056.1,1060.3,1054.0,1058.3,1058.5,-2.0,-0.0019,121237.0,338445.0,H20,2020-03-30,67d,37.5,19.0,8.850000000000039,6.2999999999999545,29.200000000000045
2020-01-24,1059.8,1061.7,1054.5,1054.8,1055.3,-3.2,-0.0,110928.0,336979.0,H20,2020-03-30,66d,38.1,18.1,8.378571428571458,7.2000000000000455,33.30000000000005
2020-01-27,1043.0,1044.5,1014.5,1016.7,1017.3,-38.0,-0.04,281482.0,338910.0,H20,2020-03-30,63d,42.9,23.0,9.642857142857176,30.0,34.600000000000044
2020-01-28,1011.6,1025.8,1007.4,1013.8,1013.2,-4.1,-0.0,265040.0,328354.0,H20,2020-03-30,62d,43.8,25.2,10.178571428571454,18.399999999999977,32.59999999999995
