Date,Open,High,Low,Close,SP,Chg,%Chg,Vol,OI,Series
22/4/2020,825.5,847.9,821.1,841.0,841.40,5.90,0.71%,"200,046","228,577",M20
23/4/2020,841.0,853.0,838.1,850.8,850.60,9.20,1.09%,"155,205","232,334",M20
24/4/2020,847.5,853.7,832.5,840.8,840.50,-10.10,-1.19%,"177,033","239,139",M20
27/4/2020,850.0,850.0,839.3,846.0,845.50,5.00,0.59%,"120,203","235,645",M20
28/4/2020,842.0,858.8,841.0,854.9,854.40,8.90,1.05%,"166,402","233,930",M20
29/4/2020,856.4,859.9,851.6,857.3,857.70,3.30,0.39%,"115,505","237,717",M20
30/4/2020,869.7,873.4,862.2,873.2,872.50,14.80,1.73%,"116,023","240,091",M20
5/5/2020,860.0,860.7,851.7,853.0,853.30,-19.20,-2.20%,"118,531","244,374",M20
7/5/2020,848.9,851.9,834.2,841.6,841.90,-11.40,-1.34%,"147,468","241,066",M20
8/5/2020,844.6,847.0,837.5,845.3,845.30,3.40,0.40%,"107,920","246,199",M20
11/5/2020,852.0,865.8,851.5,860.2,859.40,14.10,1.67%,"137,010","244,756",M20
12/5/2020,855.0,871.4,854.7,868.2,867.60,8.20,0.95%,"119,251","251,271",M20
13/5/2020,863.6,869.8,861.0,863.6,864.00,-3.60,-0.41%,"119,610","255,120",M20
14/5/2020,854.0,857.6,847.2,855.0,855.10,-8.90,-1.03%,"134,690","256,832",M20
15/5/2020,857.0,858.7,845.0,845.2,846.10,-9.00,-1.05%,"118,713","256,937",M20
18/5/2020,853.5,865.5,853.5,858.9,858.50,12.40,1.47%,"126,320","239,330",M20
19/5/2020,876.0,881.0,872.0,875.5,875.20,16.70,1.95%,"139,039","229,141",M20
20/5/2020,874.8,883.5,870.1,883.3,882.80,7.60,0.87%,"100,304","236,209",M20
21/5/2020,880.1,886.8,875.3,878.4,878.60,-4.20,-0.48%,"105,767","234,665",M20
22/5/2020,871.1,872.8,852.8,860.0,861.50,-17.10,-1.95%,"169,474","239,216",M20
25/5/2020,865.0,878.8,863.2,877.6,876.20,14.70,1.71%,"106,369","235,472",M20
26/5/2020,884.4,894.9,884.1,886.9,886.80,10.60,1.21%,"120,561","234,176",M20
27/5/2020,886.0,895.1,878.5,894.9,894.80,8.00,0.90%,"137,395","240,507",M20
28/5/2020,902.9,903.5,881.5,881.6,882.40,-12.40,-1.39%,"165,715","240,511",M20
29/5/2020,882.0,893.1,877.0,892.4,892.40,10.00,1.13%,"147,874","240,130",M20
1/6/2020,902.0,908.9,895.2,899.7,900.50,8.10,0.91%,"137,887","234,971",M20
2/6/2020,904.0,919.5,903.0,919.0,918.50,18.00,2.00%,"114,809","232,281",M20
4/6/2020,932.0,948.8,931.3,947.7,945.80,27.30,2.97%,"167,614","218,545",M20
5/6/2020,948.0,968.4,940.0,962.6,962.20,16.40,1.73%,"161,007","208,330",M20
8/6/2020,970.0,977.9,957.1,963.7,964.10,1.90,0.20%,"159,440","206,753",M20
9/6/2020,964.5,969.7,935.7,938.0,939.30,-24.80,-2.57%,"202,413","201,676",M20
10/6/2020,946.0,954.5,938.0,950.7,950.60,11.30,1.20%,"173,968","200,259",M20
11/6/2020,943.0,948.8,922.2,931.1,931.10,-19.50,-2.05%,"186,938","188,002",M20
12/6/2020,913.2,920.6,903.0,916.6,917.10,-14.00,-1.50%,"176,183","192,650",M20
15/6/2020,908.0,912.4,884.3,891.6,891.70,-25.40,-2.77%,"184,052","195,900",M20
16/6/2020,918.0,919.4,903.8,912.4,912.20,20.50,2.30%,"154,722","190,868",M20
17/6/2020,906.0,916.5,901.0,909.1,908.60,-3.60,-0.39%,"174,607","203,349",M20
18/6/2020,895.0,913.8,893.0,909.2,909.40,0.80,0.09%,"144,926","202,374",M20
19/6/2020,910.5,913.1,903.2,910.2,910.00,0.60,0.07%,"117,855","198,163",M20
22/6/2020,902.0,903.6,890.2,897.0,896.80,-13.20,-1.45%,"130,194","196,844",M20
23/6/2020,896.6,900.8,893.2,896.6,896.80,-,-,"100,486","186,305",M20
24/6/2020,899.0,902.7,877.1,877.1,878.90,-17.90,-2.00%,"169,755","190,212",M20
25/6/2020,871.0,875.9,855.5,871.5,871.60,-7.30,-0.83%,"181,584","135,561",M20
26/6/2020,875.0,885.2,873.0,878.5,878.40,6.80,0.78%,"131,527","62,289",M20
29/6/2020,874.0,876.5,862.6,875.1,875.35,-3.05,-0.35%,"50,159","30,327",M20
1/7/2020,880.0,887.3,870.3,884.5,884.50,7.90,0.90%,"151,001","244,434",U20
2/7/2020,893.0,909.5,890.0,909.2,908.50,24.00,2.71%,"163,134","224,005",U20
3/7/2020,906.0,911.0,902.0,902.8,903.10,-5.40,-0.59%,"109,117","215,149",U20
7/7/2020,915.0,917.0,899.6,900.0,900.10,-3.00,-0.33%,"128,600","218,141",U20
8/7/2020,900.0,906.9,890.0,892.6,892.50,-7.60,-0.84%,"172,974","214,442",U20
9/7/2020,894.0,900.0,886.9,898.1,897.20,4.70,0.53%,"136,617","214,063",U20
10/7/2020,888.8,889.8,874.3,880.5,880.80,-16.40,-1.83%,"163,515","232,373",U20
13/7/2020,889.0,889.8,870.3,874.5,874.60,-6.20,-0.70%,"157,446","236,808",U20
14/7/2020,866.5,876.3,861.7,871.9,872.20,-2.40,-0.27%,"166,447","240,450",U20
15/7/2020,880.0,886.7,876.0,885.3,884.70,12.50,1.43%,"133,737","243,998",U20
16/7/2020,879.9,884.4,873.2,879.5,879.50,-5.20,-0.59%,"134,865","242,299",U20
17/7/2020,883.0,889.8,878.5,889.5,888.40,8.90,1.01%,"127,106","247,037",U20
20/7/2020,884.7,894.5,881.6,885.0,885.60,-2.80,-0.32%,"141,709","244,240",U20
21/7/2020,891.3,903.2,891.2,902.6,902.40,16.80,1.90%,"139,183","246,841",U20
22/7/2020,902.9,904.7,882.5,883.0,883.80,-18.60,-2.06%,"183,555","250,317",U20
23/7/2020,885.6,889.4,878.0,884.9,884.80,1.00,0.11%,"159,542","245,425",U20
24/7/2020,874.6,876.4,865.4,872.6,872.40,-12.40,-1.40%,"148,082","253,620",U20
29/7/2020,871.1,876.2,866.0,869.4,869.30,-3.10,-0.36%,"139,684","262,605",U20
30/7/2020,870.5,873.7,845.6,845.8,847.50,-21.80,-2.51%,"179,756","276,297",U20
31/7/2020,848.0,856.4,839.9,853.6,853.70,6.20,0.73%,"175,027","274,892",U20
3/8/2020,852.6,854.6,841.0,847.7,847.90,-5.80,-0.68%,"180,630","286,192",U20
4/8/2020,853.0,859.9,850.7,855.0,855.20,7.30,0.86%,"140,865","277,389",U20
5/8/2020,855.5,865.0,849.5,860.3,859.40,4.20,0.49%,"195,555","260,716",U20
6/8/2020,856.4,865.5,855.0,856.6,856.80,-2.60,-0.30%,"138,953","266,349",U20
7/8/2020,855.0,857.3,846.6,851.4,851.20,-5.60,-0.65%,"159,775","273,997",U20
10/8/2020,852.5,853.5,847.1,849.6,849.60,-1.60,-0.19%,"98,289","273,558",U20
